Category,Dataset title,Version,Contact organisation,Dataset ID,Associated metadata?,Webpage and/or download,Factsheet URL,Marine Spatial Planning & Policy,Education,Environmental Impact & high-level screening,Ecosystem health & assessment,Ecosystem services and blue carbon,DIC_MET_ACCESS_USE_CONSTRAINT.NAME,Regional Sea,Country
Biogeographic classification,Large Marine Ecosystems of the World (2013),Jul-13,"Large Marine Ecosystem Program, National Oceanic and Atmospheric Administration-Fisheries",NOAA-001,TRUE,http://www.lme.noaa.gov,,TRUE,FALSE,FALSE,TRUE,FALSE,Unrestricted,ROPME Sea Area,Columbia
Biogeographic classification,Marine Ecoregions and Pelagic Provinces of the World (2007- 2012),1.0 (May 2015),The Nature Conservancy,WCMC-036,TRUE,http://dx.doi.org/10.1641/B570707; 10.1016,http://wcmc.io/PPOW,TRUE,TRUE,FALSE,TRUE,FALSE,UNEP-WCMC SDA,North-East Atlantic,Australia
Biogeographic classification,Marine Biogeographic Realms,1.0 (2017),"Institute of Marine Science, University of Auckland, Auckland",UniAuk-001,TRUE,https://figshare.com/articles/GIS_shape_files_of_realm_maps/5596840,http://www.biodiversitya-z.org/content/biogeographic-classification-marine,TRUE,TRUE,FALSE,FALSE,FALSE,CC BY 4.0,North-East Pacific,Italy
Biogeographic classification,Global Estuary Database (2003),2.0 (2014),"Sea Around Us, University of British Columbia",UBC-003,TRUE,http://data.unep-wcmc.org/datasets/23,www.marbef.org/wiki/estuaries,TRUE,FALSE,FALSE,TRUE,FALSE,UNEP-WCMC SDA,Red Sea and Gulf of Aden,Turkey
Biogeographic classification,Coral Ecoregions of the World (2009),1,Coral Reef Research,TNC-003,TRUE,https://www.jstage.jst.go.jp/article/galaxea/11/2/11_2_91/_pdf,,FALSE,TRUE,FALSE,TRUE,FALSE,Other,ROPME Sea Area,Columbia
Biogeographic classification,Global Distribution of Seamounts and Knolls (2011),1.0 (2011),"Institute of Zoology, Zoological Society of London",ZSL-002,TRUE,http://data.unep-wcmc.org/datasets/41,http://wcmc.io/seamounts,TRUE,TRUE,TRUE,TRUE,TRUE,CC BY 3.0,North-East Atlantic,Australia
Biogeographic classification,Large Seamount Areas (2004),1,"Sea Around Us, University of British Columbia",UBC-004,TRUE,http://www.seaaroundus.org/large-seamount-areas/,http://wcmc.io/seamounts,TRUE,FALSE,TRUE,FALSE,FALSE,Other,North-East Pacific,Italy
Biogeographic classification,Global Distribution of Hydrothermal Vents (2010),3,"University of Southampton, National Oceanography Centre",ChEssBase-002,TRUE,http://www.noc.soton.ac.uk/chess/science/sci_project.php,http://wcmc.io/hydrothermal-vents,TRUE,FALSE,TRUE,TRUE,TRUE,Other,Red Sea and Gulf of Aden,Turkey
Biogeographic classification,Global Distribution of Hydrothermal Vent Fields,3.4 (October 2015),Institut de Physique du Globe de Paris,IntRid-001,TRUE,http://vents-data.interridge.org/ventfields_list_all,http://wcmc.io/hydrothermal-vents,TRUE,FALSE,FALSE,TRUE,TRUE,CC BY-NC-SA 3.0,ROPME Sea Area,Columbia
Biogeographic classification,Global Distribution of Cold Seeps (2010),3,"University of Southampton, National Oceanography Centre",ChEssBase-001,TRUE,http://www.noc.soton.ac.uk/chess/science/sci_project.php,http://wcmc.io/cold-seep,TRUE,FALSE,TRUE,TRUE,TRUE,Other,North-East Atlantic,Australia
Environment descriptor,Mean Sea Surface Productivity in June and December 2003-2007 (2008),,UN Environment World Conservation Monitoring Centre,WCMC-020-021,TRUE,http://data.unep-wcmc.org/datasets/18,http://wcmc.io/environment-descriptors,FALSE,FALSE,FALSE,TRUE,FALSE,UNEP-WCMC SDA,North-East Pacific,Italy
Environment descriptor,Mean Annual Sea Surface Chlorophyll-a Concentration 2009-2013 (2015),1.0 (April 2015),UN Environment World Conservation Monitoring Centre,WCMC-034,TRUE,http://data.unep-wcmc.org/datasets/37,http://wcmc.io/environment-descriptors,FALSE,TRUE,FALSE,TRUE,FALSE,CC BY 3.0,Red Sea and Gulf of Aden,Turkey
Environment descriptor,Mean Annual Sea Surface Temperature 2003-2007 (2008),,UN Environment World Conservation Monitoring Centre,WCMC-022,TRUE,http://data.unep-wcmc.org/datasets/20,http://wcmc.io/environment-descriptors,FALSE,FALSE,FALSE,TRUE,FALSE,UNEP-WCMC SDA,ROPME Sea Area,Columbia
Environment descriptor,Mean Annual Sea Surface Temperature 2009-2013 (2015),1.0 (May 2015),UN Environment World Conservation Monitoring Centre,WCMC-035,TRUE,http://data.unep-wcmc.org/datasets/36,http://wcmc.io/environment-descriptors,FALSE,TRUE,FALSE,TRUE,FALSE,CC BY 3.0,North-East Atlantic,Australia
Ecosystem services and natural capital,Mapping Ocean Wealth,,"Mapping Ocean Wealth, The Nature Conservancy",TNC-004,TRUE,http://maps.oceanwealth.org/,,FALSE,TRUE,FALSE,FALSE,TRUE,TNC,North-East Pacific,Italy
Ecosystem services and natural capital,A Global Map of Natural Capital (2014),1.0 (2014),UN Environment World Conservation Monitoring Centre,WCMC-032,TRUE,http://www.unep-wcmc.org/resources-and-data/towards-a-global-map-of-natural-capital,http://www.biodiversitya-z.org/content/natural-capital,FALSE,FALSE,FALSE,FALSE,TRUE,Other,Red Sea and Gulf of Aden,Turkey
Ecosystem services and natural capital,Marine Ecosystem Services Partnership,,"Nicholas Institute for Environmental Policy Solutions, Duke University",UniDuke-001,TRUE,http://mesp2.env.duke.edu/explore,,FALSE,FALSE,FALSE,FALSE,TRUE,Unrestricted,ROPME Sea Area,Columbia
Ecosystem services and natural capital,Sea Around Us,,"Sea Around Us, University of British Columbia",UBC-009,TRUE,http://www.seaaroundus.org,,FALSE,TRUE,TRUE,FALSE,TRUE,Sea Around Us,North-East Atlantic,Australia
Ecological status and impact,Global distribution of deep-sea debris (2017),On-going,Global Oceanographic Data Centre of Japan Agency for Marine-Earth Science and Technology,JAMSTEC-001,TRUE,http://www.godac.jamstec.go.jp/dsdebris/e/,,FALSE,TRUE,TRUE,TRUE,FALSE,Copyright,North-East Pacific,Italy
Ecological status and impact,Living Planet Database (LPD),2014,"Indicators and Assessments Unit, Zoological Society of London",WWF-002,TRUE,http://www.livingplanetindex.org/data_portal,http://wwf.panda.org/about_our_earth/all_publications/living_planet_report/,FALSE,TRUE,TRUE,TRUE,FALSE,LPI,Red Sea and Gulf of Aden,Turkey
Ecological status and impact,Legacy dataset - Global Coral Disease Database (2010),1,UN Environment World Conservation Monitoring Centre,WCMC-004,FALSE,Contact marine@unep-wcmc.org,,FALSE,FALSE,TRUE,TRUE,TRUE,UNEP-WCMC SDA,ROPME Sea Area,Columbia
Ecological status and impact,Reefs at Risk Revisited (2011),2011,World Resources Institute,WRI-002,TRUE,http://www.wri.org/publication/reefs-risk-revisited,http://www.wri.org/sites/default/files/factsheet_reefs_main.pdf,FALSE,TRUE,TRUE,TRUE,TRUE,CC BY 3.0,North-East Atlantic,Australia
Ecological status and impact,RAM Legacy Stock Assessment Database,3.0 (2015),"School of Aquatic and Fishery Sciences, University of Washington",RAM-001,TRUE,http://ramlegacy.org/,,TRUE,FALSE,FALSE,TRUE,FALSE,Other,North-East Pacific,Italy
Ecological status and impact,SeagrassNet: Global Seagrass Monitoring Network (2013),2013,"Washington State Department of Natural Resources, Aquatic Resources Division",WaDNR-001,TRUE,http://www.seagrassnet.org/about-seagrassnet,http://wcmc.io/seagrass,TRUE,FALSE,FALSE,TRUE,TRUE,Other,Red Sea and Gulf of Aden,Turkey
Ecological status and impact,Ship Strike Database,1,Tethys Research Institute,IWC-001,TRUE,https://iwc.int/ship-strikes,,TRUE,FALSE,TRUE,FALSE,FALSE,Other,ROPME Sea Area,Columbia
Ecological status and impact,Threatened Island Biodiversity Database,1.0 (2016),Island Conservation,TIBD-001,TRUE,,,FALSE,TRUE,TRUE,TRUE,FALSE,Other,North-East Atlantic,Australia
Trade,Species+,,UN Environment World Conservation Monitoring Centre,WCMC-037,TRUE,http://www.speciesplus.net,,FALSE,FALSE,TRUE,TRUE,FALSE,Species+,North-East Pacific,Italy
Biodiversity-related data portal,Ocean Data Viewer (ODV),2016,UN Environment World Conservation Monitoring Centre,WCMC-039,TRUE,http://data.unep-wcmc.org,,TRUE,TRUE,TRUE,TRUE,TRUE,UNEP-WCMC SDA,Red Sea and Gulf of Aden,Turkey
Biodiversity-related data portal,Knowledge Network for Biocomplexity (KNB),,"National Centre for Ecological Analysis and Synthesis, University of California",NCEAS-004,TRUE,https://knb.ecoinformatics.org,,TRUE,FALSE,FALSE,FALSE,FALSE,CC BY 3.0,ROPME Sea Area,Columbia
Biodiversity-related data portal,FishBase,Apr-15,FishBase Consortium,FishBase-001,TRUE,http://www.fishbase.org,,FALSE,FALSE,FALSE,TRUE,FALSE,CC BY-NC 3.0,North-East Atlantic,Australia
Biodiversity-related data portal,Atlas of Global Conservation,2014,The Nature Conservancy,TNC-002,TRUE,http://maps.tnc.org/globalmaps.html,,FALSE,TRUE,FALSE,TRUE,FALSE,CC BY-NC 3.0,North-East Pacific,Italy
Biodiversity-related data portal,Integrated Biodiversity Assessment Tool (IBAT),,Integrated Biodiversity Assessment Tool,IBAT-001,TRUE,https://www.ibat-alliance.org/ibat-conservation/login,,TRUE,FALSE,TRUE,FALSE,FALSE,IBAT,Red Sea and Gulf of Aden,Turkey
Taxonomic database,Catalogue Of Life,,"Species 2000 Secretariat, Naturalis Biodiversity Center",CoL-001,TRUE,http://www.catalogueoflife.org,,FALSE,FALSE,FALSE,TRUE,FALSE,CoL,ROPME Sea Area,Columbia
Taxonomic database,World Register of Marine Species (WoRMS),,Flanders Marine Institute,VLIZ-004,TRUE,http://www.marinespecies.org/,,FALSE,FALSE,FALSE,TRUE,FALSE,Other,North-East Atlantic,Australia
Taxonomic database,SeaLifeBase,Apr-15,"Sea Around Us, University of British Columbia",SLBase-001,TRUE,http://www.sealifebase.org,,FALSE,FALSE,FALSE,TRUE,FALSE,CC BY-NC 3.0,North-East Pacific,Italy
Administration,"Global Self-consistent, Hierarchical, High-resolution Geography Database",2.3.4 (March 2015),"School of Ocean and Earth Science and Technology, University of Hawaii",UniHaw-001,TRUE,http://www.soest.hawaii.edu/pwessel/gshhg,,TRUE,FALSE,FALSE,FALSE,FALSE,GNU,Red Sea and Gulf of Aden,Turkey
Administration,Boundaries of the Global International Waters Assessment (2003),,"Division of Early Warning and Assessment, United Nations Environment Programme",UNEP-001,TRUE,http://www.unep.org/dewa/giwa/,,TRUE,FALSE,FALSE,FALSE,FALSE,Other,ROPME Sea Area,Columbia
Administration,Regional Seas Boundaries (unofficial),,UN Environment World Conservation Monitoring Centre,UNEP-002,TRUE,http://www.unep.org/regionalseas/,http://wcmc.io/regional_seas,TRUE,FALSE,FALSE,FALSE,FALSE,Internal,North-East Atlantic,Australia
Administration,"Global Distribution of Islands ""IBPoW"" (2010)",1,UN Environment World Conservation Monitoring Centre,WCMC-005,TRUE,See metadata,,TRUE,FALSE,FALSE,FALSE,FALSE,UNEP-WCMC SDA,North-East Pacific,Italy
Administration,Global Marine Aquarium Database (2003),1.0 (2003),UN Environment World Conservation Monitoring Centre,WCMC-023,TRUE,Contact marine@unep-wcmc.org,,FALSE,FALSE,TRUE,FALSE,FALSE,UNEP-WCMC SDA,Red Sea and Gulf of Aden,Turkey
Administration,Maritime Boundaries incl. Exclusive Economic Zones,10.0 (2018),Flanders Marine Institute,VLIZ-001,TRUE,http://www.marineregions.org,,TRUE,FALSE,FALSE,FALSE,FALSE,Other,ROPME Sea Area,Columbia
Administration,Global Distribution of Regional Fishery Bodies (2010),2010,Food and Agriculture Organization of the United Nations,FAO-001,TRUE,http://www.fao.org:80/geonetwork?uuid=cc7dbf20-1b8b-11dd-8bbb-0017f293bd28,,TRUE,FALSE,FALSE,FALSE,FALSE,Unrestricted,North-East Atlantic,Australia
Administration,Global Distribution of Dive Centres (2001),1.2 (June 2015),UN Environment World Conservation Monitoring Centre,WCMC-030,TRUE,http://data.unep-wcmc.org/datasets/27,,FALSE,FALSE,FALSE,FALSE,TRUE,UNEP-WCMC SDA,North-East Pacific,Italy
Administration,"Global Distribution of Islands ""OSM"" (2015)",2.1 (November 2015),UN Environment World Conservation Monitoring Centre,WCMC-031,TRUE,Contact: marine@unep-wcmc.org,,TRUE,FALSE,FALSE,FALSE,FALSE,Other,Red Sea and Gulf of Aden,Turkey
Administration,Statistical Areas For Fishery Purposes (2008),3,Food and Agriculture Organization of the United Nations,FAO-003,FALSE,http://www.fao.org/geonetwork/srv/en/main.home?uuid=ac02a460-da52-11dc-9d70-0017f293bd28,,TRUE,FALSE,FALSE,FALSE,FALSE,FAO,ROPME Sea Area,Columbia
Administration,Global Administrative Areas,2.0 (January 2012),Global Administrative Areas,GADM-001,FALSE,http://www.gadm.org,,TRUE,FALSE,FALSE,FALSE,FALSE,GAA,North-East Atlantic,Australia
Administration,Global distribution of spatial planning in the marine environment,1,UN Environment World Conservation Monitoring Centre,WCMC-042,TRUE,Contact: marine@unep-wcmc.org,,TRUE,FALSE,TRUE,FALSE,FALSE,UNEP-WCMC SDA,North-East Pacific,Italy
Administration,United Nations International Boundaries,,UN Environment Science Division,UNCO-001,FALSE,Contact: marine@unep-wcmc.org,,TRUE,FALSE,FALSE,FALSE,FALSE,Unrestricted,Red Sea and Gulf of Aden,Turkey
