Category,Dataset title,Version,Contact organisation,Dataset ID,Associated metadata?,Webpage and/or download,Factsheet URL,Marine Spatial Planning & Policy,Education,Environmental Impact & high-level screening,Ecosystem health & assessment,Ecosystem services and blue carbon
Ecological status and impact,LITTERBASE Online Portal for Marine Litter,,"Alfred Wegener Institute, Helmholtz Center for Polar and Marine Research",AWI-002,FALSE,http://litterbase.awi.de/litter,,FALSE,TRUE,TRUE,FALSE,FALSE
Ecological status and impact,Global Nutrient Export From Watersheds,,Intergovernmental Oceanographic Commission of UNESCO,IOC-001,FALSE,https://marine.rutgers.edu/globalnews/datasets.htm,,TRUE,FALSE,TRUE,FALSE,FALSE
Ecological status and impact,Fishing Gear Associated With Global Marine Catches,2008,"Sea Around Us, University of British Columbia",UBC-008,FALSE,http://dx.doi.org/10.1016/j.fishres.2006.01.010,,FALSE,TRUE,TRUE,FALSE,FALSE
Ecological status and impact,Plastic Debris Open Ocean (2014),2014,University of Cadiz,UniCadiz-001,FALSE,http://www.pnas.org/content/111/28/10239.full,,FALSE,TRUE,TRUE,FALSE,FALSE
Ecological status and impact,Ship Strike Database,1,Tethys Research Institute,IWC-001,TRUE,https://iwc.int/ship-strikes,,TRUE,FALSE,TRUE,FALSE,FALSE
Ecological status and impact,Live Global Ship Tracking-AIS Marine Traffic,,Exmile Solutions Limited,ESL-001,FALSE,http://www.marinetraffic.com/en/ais/home/centerx:25.0/centery:37.0/zoom:10,,TRUE,FALSE,TRUE,FALSE,FALSE
Ecological status and impact,A Global Map of Human Impacts to Marine Ecosystems (2008),2008,"National Centre for Ecological Analysis and Synthesis, University of California",NCEAS-001,FALSE,https://www.nceas.ucsb.edu/globalmarine,,FALSE,FALSE,TRUE,FALSE,FALSE
Ecological status and impact,Global Restoration Network Database,,Society for Ecological Restoration,SER-001,FALSE,http://www.globalrestorationnetwork.org/database,,TRUE,FALSE,TRUE,TRUE,FALSE
Trade,Species+,--,UN Environment World Conservation Monitoring Centre,WCMC-037,TRUE,http://www.speciesplus.net,,FALSE,FALSE,TRUE,TRUE,FALSE
Biodiversity-related data portal,Ocean Data Viewer (ODV),2016,UN Environment World Conservation Monitoring Centre,WCMC-039,TRUE,http://data.unep-wcmc.org,,TRUE,TRUE,TRUE,TRUE,TRUE
Biodiversity-related data portal,Knowledge Network for Biocomplexity (KNB),--,"National Centre for Ecological Analysis and Synthesis, University of California",NCEAS-004,TRUE,https://knb.ecoinformatics.org,,TRUE,FALSE,FALSE,FALSE,FALSE
Biodiversity-related data portal,FishBase,Apr-15,FishBase Consortium,FishBase-001,TRUE,http://www.fishbase.org,,FALSE,FALSE,FALSE,TRUE,FALSE
Biodiversity-related data portal,ReefBase,,The WorldFish Center,WorldFish-001,FALSE,http://www.reefbase.org/gis_maps/datasets.aspx,,FALSE,FALSE,FALSE,TRUE,TRUE
Biodiversity-related data portal,Map Of Life,,Yale University,MoL-001,FALSE,https://mol.org,,TRUE,TRUE,FALSE,TRUE,FALSE
Biodiversity-related data portal,Global Distribution of Sea Turtles (2010),,State of the World's Sea Turtles,SWOT-003,FALSE,http://www.seaturtlestatus.org,,TRUE,FALSE,FALSE,TRUE,FALSE
Biodiversity-related data portal,Environmental Data Explorer,,UN Environment,UNEP-003,FALSE,http://geodata.grid.unep.ch,,FALSE,TRUE,FALSE,TRUE,TRUE
Biodiversity-related data portal,UNEP Live,,UN Environment,UNEP-004,FALSE,http://uneplive.unep.org,,FALSE,FALSE,FALSE,TRUE,TRUE
Biodiversity-related data portal,Atlas of Global Conservation,2014,The Nature Conservancy,TNC-002,TRUE,http://maps.tnc.org/globalmaps.html,,FALSE,TRUE,FALSE,TRUE,FALSE
Biodiversity-related data portal,FAO GeoNetwork,,Food and Agriculture Organization of the United Nations,FAO-004,FALSE,http://www.fao.org/geonetwork/srv/en/main.home#,,TRUE,FALSE,FALSE,FALSE,FALSE
Biodiversity-related data portal,Global Registry Of Biodiversity Repositories,,National Center for Biotechnology Information,NCBI-001,FALSE,https://docs.google.com/spreadsheets/d/1IoyLuuJvmGhma-cGlmjIQKs65qq-YEXWiZNc1lZen_c/edit#gid=0,,TRUE,FALSE,FALSE,FALSE,FALSE
Biodiversity-related data portal,Mediterranean Platform On Biodiversity,,"Regional Activity Centre for Specially Protected Areas, UNEP Mediterranean Action Plan",RAC-SPA-002,FALSE,http://data.medchm.net/en/catalogue,,TRUE,TRUE,FALSE,TRUE,FALSE
Biodiversity-related data portal,Mid Atlantic Ocean Data Portal,,Mid Atlantic Regional Council of the Oceans,MARCO-001,FALSE,http://portal.midatlanticocean.org/data-catalog/,,TRUE,TRUE,TRUE,TRUE,TRUE
Biodiversity-related data portal,Copernicus - Marine Environment Monitoring Service,,Mercator Ocean,Copernicus-001,FALSE,http://marine.copernicus.eu/services-portfolio/access-to-products/,,TRUE,FALSE,TRUE,FALSE,FALSE
Biodiversity-related data portal,Integrated Biodiversity Assessment Tool (IBAT),N/A,Integrated Biodiversity Assessment Tool,IBAT-001,TRUE,https://www.ibat-alliance.org/ibat-conservation/login,,TRUE,FALSE,TRUE,FALSE,FALSE
Biodiversity-related data portal,Living Atlas,,ESRI,ESRI-001,FALSE,https://livingatlas.arcgis.com/en/#s=0,,FALSE,FALSE,FALSE,TRUE,FALSE
Biodiversity-related data portal,European Marine Spatial Platform,,European Marine Spatial Planning Platform,MSPplat-001,FALSE,http://msp-platform.eu/msp-practice/msp-projects,,TRUE,FALSE,FALSE,FALSE,FALSE
Biodiversity-related data portal,EMODnet broad-scale seabed habitat map for Europe (EUSeaMap),,European Marine Observation and Data Network,EMODnet-001,FALSE,http://www.emodnet-seabedhabitats.eu/default.aspx?page=1934,,TRUE,FALSE,FALSE,TRUE,TRUE
Biodiversity-related data portal,The Global Earth Observation System of Systems (GEOSS) Portal,,Group on Earth Observations,GEO-001,FALSE,http://www.geoportal.org/,,TRUE,FALSE,FALSE,FALSE,FALSE
Biodiversity-related data portal,Global Database of Natural Coastal Defences,,The Nature Conservancy,TNC-005,FALSE,http://www.maps.coastalresilience.org/global/#,,TRUE,FALSE,FALSE,FALSE,TRUE
Taxonomic database,Catalogue Of Life,--,"Species 2000 Secretariat, Naturalis Biodiversity Center",CoL-001,TRUE,http://www.catalogueoflife.org,,FALSE,FALSE,FALSE,TRUE,FALSE
Taxonomic database,World Register of Marine Species (WoRMS),--,Flanders Marine Institute,VLIZ-004,TRUE,http://www.marinespecies.org/,,FALSE,FALSE,FALSE,TRUE,FALSE
Taxonomic database,World Porifera Database (sponges),,Flanders Marine Institute,VLIZ-006,FALSE,http://www.marinespecies.org/porifera,,FALSE,FALSE,FALSE,TRUE,FALSE
Taxonomic database,Encyclopedia of Life (EoL),,Encyclopedia of Life (EOL),EoL-001,FALSE,http://eol.org/data_search,,FALSE,FALSE,FALSE,TRUE,FALSE
Taxonomic database,Mangrove Reference Database and Herbarium,,Flanders Marine Institute,VLIZ-005,FALSE,http://www.vliz.be/vmdcdata/mangroves,,FALSE,FALSE,FALSE,TRUE,TRUE
Taxonomic database,SeaLifeBase,Apr-15,"Sea Around Us, University of British Columbia",SLBase-001,TRUE,http://www.sealifebase.org,,FALSE,FALSE,FALSE,TRUE,FALSE
Administration,Natural Earth,,Natural Earth,NatEarth-001,FALSE,http://www.naturalearthdata.com/,,TRUE,TRUE,FALSE,FALSE,FALSE
Administration,Global Distribution of Biological Field Stations,,Freie Universität Berlin (FU),UniFreBer-001,FALSE,http://data.freshwaterbiodiversity.eu/tools,,TRUE,FALSE,FALSE,FALSE,FALSE
Administration,"Global Self-consistent, Hierarchical, High-resolution Geography Database",2.3.4 (March 2015),"School of Ocean and Earth Science and Technology, University of Hawaii",UniHaw-001,TRUE,http://www.soest.hawaii.edu/pwessel/gshhg,,TRUE,FALSE,FALSE,FALSE,FALSE
Administration,Boundaries of the Global International Waters Assessment (2003),,"Division of Early Warning and Assessment, United Nations Environment Programme",UNEP-001,TRUE,http://www.unep.org/dewa/giwa/,,TRUE,FALSE,FALSE,FALSE,FALSE
Administration,Regional Seas Boundaries (unofficial),,UN Environment World Conservation Monitoring Centre,UNEP-002,TRUE,http://www.unep.org/regionalseas/,http://wcmc.io/regional_seas,TRUE,FALSE,FALSE,FALSE,FALSE
Administration,"Global Distribution of Islands ""IBPoW"" (2010)",1,UN Environment World Conservation Monitoring Centre,WCMC-005,TRUE,See metadata,,TRUE,FALSE,FALSE,FALSE,FALSE
Administration,Global Marine Aquarium Database (2003),1.0 (2003),UN Environment World Conservation Monitoring Centre,WCMC-023,TRUE,Contact marine@unep-wcmc.org,,FALSE,FALSE,TRUE,FALSE,FALSE
Administration,Maritime Boundaries incl. Exclusive Economic Zones,9.0 (2016),Flanders Marine Institute,VLIZ-001,TRUE,http://www.marineregions.org,,TRUE,FALSE,FALSE,FALSE,FALSE
Administration,Global Distribution of Regional Fishery Bodies (2010),2010,Food and Agriculture Organization of the United Nations,FAO-001,TRUE,http://www.fao.org:80/geonetwork?uuid=cc7dbf20-1b8b-11dd-8bbb-0017f293bd28,,TRUE,FALSE,FALSE,FALSE,FALSE
Administration,Global Distribution of Ports: World Port Index (2011),--,National Geospatial - Intelligence Agency,NG-AI-001,FALSE,http://msi.nga.mil/NGAPortal/MSI.portal?_nfpb=true&_pageLabel=msi_portal_page_62&pubCode=0015,,TRUE,FALSE,TRUE,FALSE,FALSE
Administration,Global Maritime Boundaries Database (2008),,"General Dynamics Advanced Information Systems, Inc.",GMBD-001,FALSE,http://www.globalgisdata.com/10974.html,,TRUE,FALSE,FALSE,FALSE,FALSE
Administration,Global Distribution of Dive Centres (2001),1.2 (June 2015),UN Environment World Conservation Monitoring Centre,WCMC-030,TRUE,http://data.unep-wcmc.org/datasets/27,,FALSE,FALSE,FALSE,FALSE,TRUE
Administration,"Global Distribution of Islands ""OSM"" (2015)",2.1 (November 2015),UN Environment World Conservation Monitoring Centre,WCMC-031,TRUE,Contact: marine@unep-wcmc.org,,TRUE,FALSE,FALSE,FALSE,FALSE
Administration,Statistical Areas For Fishery Purposes (2008),3,Food and Agriculture Organization of the United Nations,FAO-003,FALSE,http://www.fao.org/geonetwork/srv/en/main.home?uuid=ac02a460-da52-11dc-9d70-0017f293bd28,,TRUE,FALSE,FALSE,FALSE,FALSE
Administration,Marine Regions Data Portal,,Flanders Marine Institute,VLIZ-003,FALSE,http://www.marineregions.org,,TRUE,FALSE,FALSE,FALSE,FALSE
Administration,Global Administrative Areas,2.0 (January 2012),Global Administrative Areas,GADM-001,FALSE,http://www.gadm.org,,TRUE,FALSE,FALSE,FALSE,FALSE
Administration,Global distribution of spatial planning in the marine environment,1,UN Environment World Conservation Monitoring Centre,WCMC-042,TRUE,Contact: marine@unep-wcmc.org,,TRUE,FALSE,TRUE,FALSE,FALSE
Administration,United Nations International Boundaries,,UN Environment Science Division,UNCO-001,FALSE,Contact: marine@unep-wcmc.org,,TRUE,FALSE,FALSE,FALSE,FALSE
Administration,"Areas of Special Importance For Cetaceans of the Black Sea, Mediterranean Sea and contiguous Atlantic areas (ACCOBAMS)",,"The Agreement on the Conservation of Cetaceans of the Black Sea, Mediterranean Sea and contiguous Atlantic area",ACCOBAMS-001,FALSE,Contact: marine@unep-wcmc.org,,TRUE,FALSE,TRUE,FALSE,FALSE
Administration,"Area of Competence for the Areas of Special Importance For Cetaceans of the Black Sea, Mediterranean Sea and contiguous Atlantic areas (ACCOBAMS)",,"The Agreement on the Conservation of Cetaceans of the Black Sea, Mediterranean Sea and contiguous Atlantic area",ACCOBAMS-002,FALSE,Contact: marine@unep-wcmc.org,,TRUE,FALSE,FALSE,FALSE,FALSE
Administration,"Area of Competence for the Agreement on the Conservation of Small Cetaceans in the Baltic, North East Atlantic, Irish and North Seas (ASCOBANS)",,"Agreement on the Conservation of Small Cetaceans in the Baltic, North East Atlantic, Irish and North Seas",ASCOBANS-001,FALSE,Contact: marine@unep-wcmc.org,,TRUE,FALSE,FALSE,FALSE,FALSE
Administration,Extended Continental Shelf Submissions,,GRID-Arendal,GridA-004,FALSE,http://www.continentalshelf.org/onestopdatashop/6350.aspx,,TRUE,FALSE,FALSE,FALSE,FALSE
Administration,Area of Competence of the OSPAR Convention (Regions & Boundaries),,GRID-Arendal,OSPAR-001,FALSE,http://odims.ospar.org/odims_data_files/,,TRUE,FALSE,FALSE,FALSE,FALSE
Administration,Coastal Governance Index,,The Economist Intelligence Unit,EIU-001,FALSE,http://perspectives.eiu.com/sites/default/files/images/EIU_CGIndex_WEB%20final_0.pdf,,TRUE,FALSE,FALSE,FALSE,FALSE
