Category,Dataset title,Version,Contact organisation,Dataset ID,Associated metadata?,Webpage and/or download,Factsheet URL,Country,Region,DIC_MET_ACCESS_USE_CONSTRAINT.NAME,Other access use constraints,Marine Spatial Planning & Policy,Education,Environmental Impact & high-level screening,Ecosystem health & assessment,Ecosystem services and blue carbon
Biogenic habitat,Marine Forests,1.0 (2018),Centre of Marine Sciences,CCMAR-001,1,https://www.marineforests.com/,http://wcmc.io/seagrass,Global,Global,Specific Terms of Use,"This initiative follows the FAIR principle, to make data Findable, Accessible, Interoperable and Reusable (Wilkinson et al., 2016).
Wilkinson, M. D. et al. (2016). Scientific Data. doi:10.1038/sdata.2016.18

By submitting any contents to the Marine Forests Website, the users grant CCMAR a worldwide, non-exclusive royalty-free license, allowing CCMAR to reproduce, adapt, modify and publish the contents with the purpose of exhibiting, distributing and promoting the contents. The users warrant that (i) they own and control the rights to the published contents or have the right to publish such contents to the Website and (ii) the contents are correct and not misleading. CCMAR has the right deny or terminate the access to the Website to any entity or individual for any reason.

CCMAR has not reviewed the contents published by the users, and cannot be responsible for the contents published, their use or effects. CCMAR does not endorse the contents published to the Website as accurate, non-harmful or useful.

For more information, please visit: https://marineforests.com/terms/.",0,1,0,0,1
Ecosystem services and natural capital,Funding the Ocean,1.0 (2018),Foundation Centre,FC-001,0,http://www.fundingtheocean.org,,Global,Global,Specific Terms of Use,"Full use contraints are detailed here https://maps.foundationcenter.org/

(a) The Maps Service contains copyrighted material, trademarks, and other proprietary information of the Center (collectively “Proprietary Material”) including, but not limited to, text, software, photos, graphics, and images. The Maps Service also contains copyrighted material, trademarks, and other proprietary information licensed by, or otherwise made available to, the Center from third party content suppliers. [MF9] You agree not to modify, publish, transmit, participate in the transfer or sale of, create derivative works of, or in any way exploit, in whole or in part, any copyrighted material included in the Maps Service.

 (b) The Maps Service in its entirety is: Copyright 2014 Foundation Center. All Rights Reserved.

© Except as otherwise expressly permitted by this Agreement, or as permitted under copyright law, no posting, copying, downloading, uploading, transmission, retransmission, distribution, redistribution, publication, republication, decompilation, disassembling, reverse engineering, or otherwise modifying or commercially exploiting of any Proprietary Material included is permitted without the express permission of the copyright owner. In the event of any copying, redistribution, or publication of copyrighted material as permitted by law, no changes in or deletion of author attribution, trademark, legend, or copyright notice shall be made.

(d) Foundation Maps service marks, trademarks, and logos and other Center service marks, trademarks, and logos are service marks, trademarks, and logos of the Center. Other service marks, trademarks, and logos used on the Maps Service Website or the Center's website are the service marks, trademarks, or logos of their respective owners.",0,1,0,0,1
Taxonomic database,The Sponge Guide (tSG),3.0 (2014),Universidad Nacional de Colombia,tSG-001,0,http://www.spongeguide.org/,,Regional,Wider Caribbean,Specific Terms of Use,"The guide is free to use only for educational and instructional purposes. To use tSG material for commercial or publication purposes, please contact spongeguide@gmail.com.",0,1,0,1,1
Biodiversity-related data portal,European Atlas of the Seas,Please refer to the original dataset.,Directorate General on Maritime Affairs and Fisheries of the European Commission,DGMARE-001,1,https://ec.europa.eu/maritimeaffairs/atlas/maritime_atlas/,,Regional,Mediterranean; North-East Atlantic,Specific Terms of Use,"See: https://europa.eu/european-union/abouteuropa/legal_notices_en. Reproduction is authorised, provided the source is acknowledged, save where otherwise stated.

With a rich collection of informative facts and maps build on open data, the European Atlas of the Seas counts on the precious contribution of many data providers such as the European Commission, Directorate General for Maritime Affairs and Fisheries (DG MARE), other DGs and EU agencies, as well as the European Marine Observation and Data Network (EMODnet), the European Environmental Agency, Eurostat, Copernicus, the Joint Research Centre and others. Source providers are always acknowledged and a link to the source location is provided whenever possible.",1,1,1,1,1
Species distribution,Migratory Connectivity in the Ocean (MiCo),N/A,"Marine Geospatial Ecology Lab, Duke University",Duke-001,1,https://mico.eco/,,Global,Global,Specific Terms of Use,"For full terms of use, please visit: https://mico.eco/terms/. For terms of reference for data providers to MiCo, please visit: https://mico.eco/terms-of-reference/.",1,1,1,1,0
Protected areas and areas of biodiversity importance,ProtectedSeas Marine Area Map,Updated monthly,Anthropocene Institute,ProSeas-001,1,https://protectedseas.net/,,Antigua and Barbuda; Aruba; Bahamas (the); Barbados; Canada; Cayman Islands (the); Cuba; Curaçao; Dominican Republic (the); Grenada; Guadeloupe; Haiti; Jamaica; Martinique; Mexico; Micronesia (Federated States of); Northern Mariana Islands (the); Palau; Papua New Guinea; Puerto Rico; Saint Lucia; Trinidad and Tobago; Turks and Caicos Islands (the); United States Minor Outlying Islands (the); United States of America (the); Virgin Islands (British); Virgin Islands (U.S.),Areas Beyond National Jurisdiction (ABNJ); North-East Atlantic; North-West Atlantic; Pacific; Wider Caribbean,Specific Terms of Use,"Our full Marine Area Database is available for download in various GIS formats by region under a simple, free license. To learn more or to download the data, please visit our Ocean Data page.

For full 'terms and conditions', please visit: https://protectedseas.net/request-data.",1,1,1,0,0
Administration,"Global Self-consistent, Hierarchical, High-resolution Geography Database",2.3.4 (March 2015),"School of Ocean and Earth Science and Technology, University of Hawaii",UniHaw-001,1,http://www.soest.hawaii.edu/pwessel/gshhg,,Global,Global,GNU,Please notify Dr. Paul Wessel (pwessel@hawaii.edu) and Dr. Walter H.F. Smith (Walter.HF.Smith@noaa.gov) if any changes are made to the GSHHG dataset for commercial use.,1,0,0,0,0
Environment descriptor,Bio-ORACLE: a Global Environmental Dataset for Marine Species Distribution Modelling (2012),,"Phycology Research Group, Ghent University",Ghent-001,0,http://www.oracle.ugent.be,http://wcmc.io/environment-descriptors,Global,Global,GNU,,0,0,0,1,0
Environment descriptor,Global Marine Environment Dataset (GMED),2.0,"Institute of Marine Science, University of Auckland",GMED-001,0,http://gmed.auckland.ac.nz/index.html,http://wcmc.io/environment-descriptors,Global,Global,GNU,Not reported.,1,0,0,0,0
Biogenic habitat,Global Distributions of Habitat Suitability for Cold-Water Octocorals (2012),1.0 (2012),"Institute of Zoology, Zoological Society of London",ZSL-001,1,http://data.unep-wcmc.org/datasets/40,http://wcmc.io/cold-coral,Global,Global,CC BY 3.0,"To access the high-resolution rasters (30 arc-sec., approx. 1 sq-km) and/or the database of geolocated octocoral specimens (both restricted), contact chris.yesson@ioz.ac.uk.",1,1,1,1,1
Biogenic habitat,Modelled Spatial Distributions of Coralligenous and Maërl Habitats (2014),2014,UN Environment World Conservation Monitoring Centre,Mediseh-001,1,http://www.emodnet-seabedhabitats.eu/default.aspx?page=1974,,Albania; Algeria; Croatia; Egypt; France; Greece; Israel; Italy; Lebanon; Montenegro; Morocco; Slovenia; Spain; Syrian Arab Republic; Tunisia; Turkey,Mediterranean,CC BY 3.0,,1,0,1,1,1
Biogeographic classification,Global Distribution of Seamounts and Knolls (2011),1.0 (2011),"Institute of Zoology, Zoological Society of London",ZSL-002,1,http://data.unep-wcmc.org/datasets/41,http://wcmc.io/seamounts,Global,Global,CC BY 3.0,None.,1,1,1,1,1
Environment descriptor,Mean Annual Sea Surface Chlorophyll-a Concentration 2009-2013 (2015),1.0 (April 2015),UN Environment World Conservation Monitoring Centre,WCMC-034,1,http://data.unep-wcmc.org/datasets/37,http://wcmc.io/environment-descriptors,Global,Global,CC BY 3.0,None,0,1,0,1,0
Environment descriptor,Mean Annual Sea Surface Temperature 2009-2013 (2015),1.0 (May 2015),UN Environment World Conservation Monitoring Centre,WCMC-035,1,http://data.unep-wcmc.org/datasets/36,http://wcmc.io/environment-descriptors,Global,Global,CC BY 3.0,None,0,1,0,1,0
Ecological status and impact,Reefs at Risk Revisited (2011),2011,World Resources Institute,WRI-002,1,http://www.wri.org/publication/reefs-risk-revisited,http://www.wri.org/sites/default/files/factsheet_reefs_main.pdf,Global,Global,CC BY 3.0,"For full listing of conditions and exceptions, please visit http://www.wri.org/publications/permissions-licensing.",0,1,1,1,1
Taxonomic database,World Register of Marine Species (WoRMS),,Flanders Marine Institute,VLIZ-004,1,http://www.marinespecies.org/,,Global,Global,CC BY 3.0,"CC-BY-3.0, but redistribution is not permitted.",0,0,0,1,0
Species distribution,Movebank,,Max Planck Institute for Ornithology,MovBnk-001,1,https://www.movebank.org,,Global,Global,CC BY 3.0,"1. Content
The owner of the domain, the publicist and the author (hereinafter referred to only as ""the author"") make no warranties regarding the currency, accuracy or completeness of the information provided. Liability claims against the author which relate to damages of a material or immaterial nature caused by the use or non-use of the information offered or the use of inaccurate or incomplete information are explicitly excluded unless there is demonstrable intentional fault or gross negligence on the part of the author. The author expressly reserves the right without prior notice to change, supplement or delete parts of the pages or the entire offering or to cease publication temporarily or permanently.

2. References/links
In the case of direct or indirect references to external Internet pages (links) which are outside the author's area of responsibility, an obligation to assume liability would come into effect only in a case where the author was aware of the contents and could be reasonably expected, and had the technical means, to prevent the use thereof in the case of unlawful content. The author hereby expressly declares that, at the time the link was created, the linked pages contained no unlawful content. The author has no influence whatsoever on the current and future design and on the content of the linked pages. Therefore the author hereby expressly dissociates itself from all contents of all linked pages which were changed after the link was created. This statement applies also to all links and references on its own website. Liability for unlawful, inaccurate or incomplete content, and especially for damages which arise from the use or non-use of information thus provided, shall be borne solely by the provider of the page to which reference is made, not by the party which refers to the publication in question via a link.

3. Copyright and trademark law
The author shall make every effort to observe in all publications the copyright of all graphics and texts, to use graphics and texts produced by him or to avail of graphics and texts which are in the public domain. All the trademarks and brands referred to on this website, including those registered by third parties, are subject without limitation to the provisions of applicable trademark law and the ownership rights of the registered owner in question. From the mere mention of trademarks it may not be concluded that they are not subject to third-party rights. Except where otherwise noted, content on this site is licensed under a Creative Commons Attribution 3.0 License.

4. Legal effectiveness of this disclaimer
This disclaimer shall be regarded as part of the website from which reference to this page is made. Should parts of the text or any wording therein not, not fully, or no longer comply with applicable law, this shall not affect the validity or the content of the remaining parts of the document.",1,0,1,0,0
Protected areas and areas of biodiversity importance,Global Shark Distribution Database (2011),2011,Dalhousie University,UniDahl-003,1,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0019356,,Global,Global,CC BY 3.0,,0,0,0,1,0
Biodiversity-related data portal,Knowledge Network for Biocomplexity (KNB),,"National Centre for Ecological Analysis and Synthesis, University of California",NCEAS-004,1,https://knb.ecoinformatics.org,,Global,Global,CC BY 3.0,,1,0,0,0,0
Ecological status and impact,Environmental Performance Index (EPI),2018,Yale Centre for Environmental Law & Policy,YCELP-001,1,http://epi.yale.edu/downloads,,Global,Global,CC BY 3.0,,0,0,1,1,0
Biogeographic classification,Global Distribution of Hydrothermal Vent Fields,3.4 (October 2015),Institut de Physique du Globe de Paris,IntRid-001,1,http://vents-data.interridge.org/ventfields_list_all,http://wcmc.io/hydrothermal-vents,Global,Global,CC BY-NC-SA 3.0,"User are asked to acknowledge InterRidge when using the database, and to send InterRidge the citations of any publications based on the information contained in the database.",1,0,0,1,1
Protected areas and areas of biodiversity importance,Global Distribution of Key Biodiversity Areas,2016,Birdlife International,Birdlife-001,1,http://www.keybiodiversityareas.org/site/mapsearch,http://wcmc.io/KBA,Global,Global,Specific Terms of Use,"Terms of use for AZE data can be found at www.zeroextinction.org/pdf/TermsofUseAZEdata_2011.pdf. Commercial use is prohibited without prior written permission of the Alliance. For other KBA data, contact Birdlife International (birdlife@birdlife.org) for terms of use.",1,0,1,0,0
Species distribution,Global Distribution of Northern Fur Seals (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,Kaschner-001,1,http://www.aquamaps.org,,Global,Global,CC BY-NC 3.0,"Interested users of the dataset should contact Kristin Kaschner who will identify and provide, where appropriate, the most recent updated data.

For commercial use, please contact business-support@unep-wcmc.org.",0,1,0,1,0
Species distribution,Global Distribution of Hawaiian Monk Seals (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,Kaschner-002,1,http://www.aquamaps.org,,Global,Global,CC BY-NC 3.0,"Interested users of the dataset should contact Kristin Kaschner who will identify and provide, where appropriate, the most recent updated data.

For commercial use, please contact business-support@unep-wcmc.org.",0,1,0,1,0
Species distribution,Global Distribution of Grey Seals (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,Kaschner-003,1,http://www.aquamaps.org,,Global,Global,CC BY-NC 3.0,"Interested users of the dataset should contact Kristin Kaschner who will identify and provide, where appropriate, the most recent updated data.

For commercial use, please contact business-support@unep-wcmc.org.",0,1,0,1,0
Species distribution,Global Distribution of Hector's Dolphins (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,Kaschner-004,1,http://www.aquamaps.org,,Global,Global,CC BY-NC 3.0,"Interested users of the dataset should contact Kristin Kaschner who will identify and provide, where appropriate, the most recent updated data.

For commercial use, please contact business-support@unep-wcmc.org.",0,1,0,1,0
Species distribution,Global Distribution of Northern Bottlenose Whales (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,Kaschner-005,1,http://www.aquamaps.org,,Global,Global,CC BY-NC 3.0,"Interested users of the dataset should contact Kristin Kaschner who will identify and provide, where appropriate, the most recent updated data.

For commercial use, please contact business-support@unep-wcmc.org.",0,1,0,1,0
Species distribution,Global Distribution of Sperm Whales (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,Kaschner-006,1,http://www.aquamaps.org,,Global,Global,CC BY-NC 3.0,"Interested users of the dataset should contact Kristin Kaschner who will identify and provide, where appropriate, the most recent updated data.

For commercial use, please contact business-support@unep-wcmc.org.",0,1,0,1,0
Species distribution,Global Distribution of Bowhead Whales (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,Kaschner-008,1,http://www.aquamaps.org,,Global,Global,CC BY-NC 3.0,"Interested users of the dataset should contact Kristin Kaschner who will identify and provide, where appropriate, the most recent updated data.

For commercial use, please contact business-support@unep-wcmc.org.",0,1,0,1,0
Species distribution,Global Distribution of Sei Whales (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,Kaschner-009,1,http://www.aquamaps.org,,Global,Global,CC BY-NC 3.0,"Interested users of the dataset should contact Kristin Kaschner who will identify and provide, where appropriate, the most recent updated data.

For commercial use, please contact business-support@unep-wcmc.org.",0,1,0,1,0
Species distribution,Global Distribution of Atlantic Spotted Dolphins (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,Kaschner-011,1,http://www.aquamaps.org,,Global,Global,CC BY-NC 3.0,"Interested users of the dataset should contact Kristin Kaschner who will identify and provide, where appropriate, the most recent updated data.

For commercial use, please contact business-support@unep-wcmc.org.",0,1,0,1,0
Species distribution,Global Distribution of Melon-Headed Whales (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,Kaschner-012,1,http://www.aquamaps.org,,Global,Global,CC BY-NC 3.0,"Interested users of the dataset should contact Kristin Kaschner who will identify and provide, where appropriate, the most recent updated data.

For commercial use, please contact business-support@unep-wcmc.org.",0,1,0,1,0
Biodiversity-related data portal,Atlas of Global Conservation,2014,The Nature Conservancy,TNC-002,1,http://maps.tnc.org/globalmaps.html,,Global,Global,CC BY-NC 3.0,,0,1,0,1,0
Biodiversity-related data portal,FishBase,04/2015,FishBase Consortium,FishBase-001,1,http://www.fishbase.org,,Global,Global,CC BY-NC 3.0,"You are welcome to include text, numbers and maps from FishBase in your own web sites for non-commercial use, given that such inserts are clearly identified as coming from FishBase, with a backward link to the respective source page. Photos and drawings belong to the indicated persons or organizations and have their own copyright statements. Photos and drawings with CC-BY or CC-BY-NC copyrights can be used without further permission, with full attribution to the person or organization and the indication 'from FishBase'.",0,0,0,1,0
Taxonomic database,SeaLifeBase,04/2015,"Sea Around Us, University of British Columbia",SLBase-001,1,http://www.sealifebase.org,,Global,Global,CC BY-NC 3.0,"You are welcome to include text, numbers and maps from SeaLifeBase in your own web sites for non-commercial use, given that such inserts are clearly identified as coming from SeaLifeBase, with a backward link to the respective source page. Photos and drawings belong to the indicated persons or organizations and have their own copyright statements. Photos and drawings with CC-BY or CC-BY-NC copyrights can be used without further permission, with full attribution to the person or organization and the indication 'from SeaLifeBase'.",0,0,0,1,0
Species distribution,Spatial Data for the Red List of Threatened Species,v5.1,International Union for Conservation of Nature,IUCN-001,1,http://www.iucnredlist.org,http://www.iucnredlist.org/technical-documents/spatial-data,Global,Global,Specific Terms of Use,"Datasets are freely available for non-commercial use according to published terms (http://www.iucnredlist.org/info/terms-of-use), and under data licence for commercial use through IBAT (https://www.ibatforbusiness.org/). These data and any derivatives may not be used for commercial or any revenue generating activities without prior written permission from IUCN. All forms of reposting, sub-licensing, reselling or other forms of redistribution of these data in their original format are also prohibited without prior written permission from IUCN. Please refer to the Terms and Conditions of Use.",1,0,1,1,0
Species distribution,Corrected and Refined Mangrove Species Ranges (2014),1.0 (December 2014),UN Environment World Conservation Monitoring Centre,IUCN-002,1,Contact: marine@unep-wcmc.org,http://wcmc.io/mangroves,Global,Global,Specific Terms of Use,Interested users should contact marine@unep-wcmc.org in the first instance. Permission to access the data will require permission from both IUCN and UNEP-WCMC.,1,0,0,1,1
Trade,Species+,,UN Environment World Conservation Monitoring Centre,WCMC-037,1,http://www.speciesplus.net,,Global,Global,Specific Terms of Use,None,0,0,1,1,0
Species distribution,Ocean Biogeographic Information System (OBIS),,"OBIS Secretariat, Intergovernmental Oceanographic Commission (UNESCO)",OBIS-003,1,http://www.iobis.org,,Global,Global,Specific Terms of Use,,1,0,0,1,0
Ecological status and impact,Living Planet Database (LPD),2014,"Indicators and Assessments Unit, Zoological Society of London",WWF-002,1,http://www.livingplanetindex.org/data_portal,http://wwf.panda.org/about_our_earth/all_publications/living_planet_report/,Global,Global,Specific Terms of Use,"The full disclaimer can be obtained from the Data Use Policy (http://www.livingplanetindex.org/documents/data_agreement.pdf), while documents outlining ""Data Standards"" and ""LPI data requirements for public users"" can be obtained from the data portal (http://www.livingplanetindex.org/supporting_documents).",0,1,1,1,0
Taxonomic database,Catalogue Of Life (CoL),,"Species 2000 Secretariat, Naturalis Biodiversity Center",CoL-001,1,http://www.catalogueoflife.org,,Global,Global,Specific Terms of Use,,0,0,0,1,0
Ecosystem services and natural capital,Sea Around Us,,"Sea Around Us, University of British Columbia",UBC-009,1,http://www.seaaroundus.org,,Global,Global,Specific Terms of Use,,0,1,1,0,1
Ecosystem services and natural capital,Mapping Ocean Wealth,,"Mapping Ocean Wealth, The Nature Conservancy",TNC-004,1,http://maps.oceanwealth.org/,,Global,Global,Specific Terms of Use,"Content owned by The Nature Conservancy: Use of Content on Mapping Ocean Wealth is permitted by Users under the terms of the Creative Commons license for non-commercial purposes (CC BY-NC-SA; http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode) on the condition it is attributed to the Content owner, specifically The Nature Conservancy . The full terms of the License can be found on Creative Commons.

Content owned by Third-Parties: Use of Third-Party Owned Content on Mapping Ocean Wealth that is not in Mapping Ocean Wealth Posts is not permitted by Users besides reviewing online, including but not limited to copying, distribution, publication, transfer or sale.

User-Generated Content on Mapping Ocean Wealth Posts: Use of Content on Mapping Ocean Wealth is permitted by Users under the terms of the Creative Commons license for non-commercial purposes (CC BY-NC-SA; http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode) on the condition it is attributed to the Content owner. The full terms of the License can be found on Creative Commons.",0,1,0,0,1
Biodiversity-related data portal,Integrated Biodiversity Assessment Tool (IBAT),,Integrated Biodiversity Assessment Tool,IBAT-001,1,https://www.ibat-alliance.org/ibat-conservation/login,,Global,Global,Specific Terms of Use,"The IBAT Alliance require a copy of all published materials that include the
Information to be lodged with them free of charge within one month of publication preferably in electronic format via ibat@birdlife.org.

IBAT for Research and Conservation Planning is freely available for non-commercial use by governments, researchers and conservation practitioners, to support decision-making in conservation and development.

IBAT for Business is available via subscription to corporates and consultancies, to inform business decision-making.",1,0,1,0,0
Protected areas and areas of biodiversity importance,Global Distribution of Ecologically or Biologically Significant Marine Areas (EBSAs),1.0,Secretariat of the Convention on Biological Diversity,CBD-001,1,https://www.cbd.int/ebsa/,http://wcmc.io/EBSA,Global,Global,Specific Terms of Use,,1,0,1,0,0
Administration,Statistical Areas For Fishery Purposes (2008),3.0,Food and Agriculture Organization of the United Nations,FAO-003,0,http://www.fao.org/geonetwork/srv/en/main.home?uuid=ac02a460-da52-11dc-9d70-0017f293bd28,,Global,Global,Specific Terms of Use,"Content on http://www.fao.org , its affiliated websites and specific pages (collectively \""the FAO website\"") is protected by copyright. To ensure wide dissemination of its information, FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data products presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, or for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way. FAO encourages unrestricted use of news releases provided on the FAO website, and no formal permission is required to reproduce these materials. All requests for translation and adaptation rights, and for resale and other commercial use rights should be addressed to copyright@fao.org or submitted via the online Licence Request Form when downloading. Copyright: Exclusive right to the publication, production, or sale of the rights to a literary, dramatic, musical, or artistic work, or to the use of a commercial print or label, granted by law for a specified period of time to an author, composer, artist, distributor License: Formal permission to do something",1,0,0,0,0
Protected areas and areas of biodiversity importance,Global Distribution of Vulnerable Marine Ecosystems (VMEs),1.0,Food and Agriculture Organization of the United Nations,FAO-002,1,http://www.fao.org/in-action/vulnerable-marine-ecosystems/background/vme-tools/en/#download_shapefiles,http://wcmc.io/VME,Global,Global,Specific Terms of Use,"Please contact Fabio Carocci, Food and Agriculture Organization (FAO)",0,0,1,0,0
Biogeographic classification,Seafloor Geomorphic Features Map (2014),2014,GRID-Arendal,GridA-001,1,http://www.bluehabitats.org/?page_id=58,,Global,Global,CC BY 4.0,None.,1,1,0,0,0
Species distribution,Global Biodiversity Information Facility (GBIF),2017,Global Biodiversity Information Facility,GBIF-001,1,http://www.gbif.org,,Global,Global,CC BY 4.0,"Data accessed through the GBIF network is free for all—but not free of obligations. Under the terms of the GBIF data user agreement (https://www.gbif.org/terms/data-user), users who download individual datasets or search results and use them in research or policy agree to cite them using a DOI, or Digital Object Identifier.

All available data are licensed under one of three options:
- CC0, under which data are made available for any use without restriction or particular requirements on the part of users
- CC BY, under which data are made available for any use provided that attribution is appropriately given for the sources of data used, in the manner specified by the owner
- CC BY-NC, under which data are made available for any use provided that attribution is appropriately given and provided the use is not for commercial purposes

For more information regarding terms of use, please visit: https://www.gbif.org/terms.",1,1,1,1,0
Biogenic habitat,Global Spatiotemporal Database of Mangrove Forest Cover (2014) (CGMFC-21),1.0 (2014),Salisbury University,UniSal-001,1,http://arxiv.org/abs/1412.0722,,Global,Global,CC BY 4.0,None.,1,1,1,1,1
Ecological status and impact,Spatial and temporal changes in cumulative human impacts on the world’s ocean (2015),1.0 (July 2015),"National Centre for Ecological Analysis and Synthesis, University of California",NCEAS-003,0,https://knb.ecoinformatics.org/#data/query=%28Halpern%20Cumulative%20human%20impacts%29/page/0,,Global,Global,CC BY 4.0,,0,0,0,0,0
Biogeographic classification,Marine Biogeographic Realms,1.0 (2017),"Institute of Marine Science, University of Auckland, Auckland",UniAuk-001,1,https://figshare.com/articles/GIS_shape_files_of_realm_maps/5596840,http://www.biodiversitya-z.org/content/biogeographic-classification-marine,Global,Global,CC BY 4.0,None.,1,1,0,0,0
Biogenic habitat,Global Mangrove Watch,2.0,Global Mangrove Watch,GMW-001,1,http://www.eorc.jaxa.jp/ALOS/en/kyoto/mangrovewatch.htm,http://wcmc.io/mangroves,Global,Global,CC BY 4.0,Only the 2010 GMW layer is currently available for download on the Ocean Data Viewer. Further layers will be added to the platform from 2018 onwards.,0,0,0,1,1
Species habitat,A Modelled Global Distribution of the Seagrass Biome,1.0 (2018),"Institute of Marine Science, University of Auckland, Auckland",UniAuk-002,1,http://data.unep-wcmc.org/datasets/46,http://wcmc.io/seagrass,Global,Global,CC BY 4.0,None.,0,0,0,1,1
Protected areas and areas of biodiversity importance,Digital Map of the Coral Triangle,1.0 (2019),"Institute of Marine Science, University of Auckland, Auckland",UniAuk-003,0,http://uoa.maps.arcgis.com/apps/MinimalGallery/index.html?appid=e0ccfa15b54d49de9ea6a8db2079d8ac,,Indonesia; Malaysia; Papua New Guinea; Philippines (the); Solomon Islands; Timor-Leste,South Asian Seas,CC BY 4.0,None.,1,0,0,1,1
Environment descriptor,"ReefTEMPS: the observation network of the coastal sea waters of the South, West and South-West Pacific",1.0 (2018),Institut de recherche pour le développement,ReefTEMPS-001,1,https://www.seanoe.org/data/00440/55128/,,Regional,East Asian Sea; Pacific,CC BY 4.0,"All data acquired are publicly accessible without any restriction (under CC-BY licence). The extracted data are accessible from this ReefTEMPS landing page with a downloadable ZIP file. All the data acquired, including the most recent data, are accessible from the ReefTemps data portal and through the different ReefTEMPS web services.",0,0,0,1,1
Biogenic habitat,Global Distribution of Tidal Flat Ecosystems,1.0 (2019),The University of Queensland,MUR-001,1,https://wcmc.io/MUR_001,,Global,Global,CC BY 4.0,,0,0,0,0,0
Biodiversity metric,Global Sea Turtle Species Richness (2002),,UN Environment World Conservation Monitoring Centre,WCMC-003,0,Contact marine@unep-wcmc.org,http://wcmc.io/biodiversity-metric,Global,Global,Not Reported,,0,0,0,1,1
Environment descriptor,General Bathymetric Chart of the Oceans (2008),GEBCO_2014 Grid,British Oceanographic Data Centre,GEBCO-001,0,http://www.gebco.net/data_and_products/gridded_bathymetry_data,http://wcmc.io/environment-descriptors,Global,Global,Not Reported,,1,0,0,0,0
Biogeographic classification,Global Seamount Database (2011),0.1,"School of Ocean and Earth Science and Technology, University of Hawaii",UniHaw-003,0,http://www.soest.hawaii.edu/PT/SMTS/main.html,http://wcmc.io/seamounts,Global,Global,Not Reported,,1,0,1,1,0
Species distribution,Global Shark Distribution Database (2009),2009,Dalhousie University,UniDalh-002,0,http://www.globalshark.ca/gs_distribution_db/data.php,,Global,Global,Not Reported,,0,0,0,1,0
Species distribution,Global Register of Migratory Species (2004),,Zoologisches Forschungsinstitut und Museum Alexander Koenig,GROMS-001,0,http://www.groms.de,,Global,Global,Not Reported,,1,0,1,1,0
Administration,Global Distribution of Ports: World Port Index (2011),,National Geospatial - Intelligence Agency,NG-AI-001,0,https://msi.nga.mil/NGAPortal/MSI.portal?_nfpb=true&_pageLabel=msi_portal_page_62&pubCode=0015,,Global,Global,Not Reported,,1,0,1,0,0
Protected areas and areas of biodiversity importance,The Global 200 Ecoregions (2002),2002,World Wildlife Fund,WWF-001,0,http://www.worldwildlife.org/publications/global-200,http://wcmc.io/Global-200,Global,Global,Not Reported,,1,1,0,1,0
Biogenic habitat,Global Distribution of Habitat Suitability for Stony Corals on Seamounts (2009),2009,UN Environment World Conservation Monitoring Centre,WCMC-024,0,Contact marine@unep-wcmc.org,http://wcmc.io/seamounts,Global,Global,Not Reported,,1,0,0,1,1
Species distribution,Ocean Tracking Network,,Dalhousie University,UniDalh-001,0,http://members.oceantrack.org/data/discovery/GLOBAL.htm,,Global,Global,Not Reported,,1,1,1,1,0
Biogeographic classification,A Proposed Biogeography of the Deep Oceans (2013),2009,University of Hawaii,UniHaw-002,0,Contact watling@hawaii.edu,,Global,Global,Not Reported,,0,0,0,1,0
Environment descriptor,AquaMaps Environmental Dataset,,"Aquamaps, a joint project of FishBase and SealifeBase",AquaMaps-003,0,http://www.aquamaps.org/download/main.php,,Not Reported,Not Reported,Not Reported,,0,0,0,1,0
Species habitat,Fish Aggregation Database,2013,Science and Conservation of Fish Aggregations,SCRFA-001,0,http://www.scrfa.org/database,,Global,Global,Not Reported,,1,0,0,1,1
Environment descriptor,Global Crustal Model (2013),,"Scripps Institution of Oceanography, University of California",UniCal-002,0,http://igppweb.ucsd.edu/~gabi/crust1.html,,Global,Global,Not Reported,,1,0,0,0,0
Ecosystem services and natural capital,A Global Map Of Coastal Recreation Values (2013),,University of Haifa,UniHaif-001,0,http://dx.doi.org/10.1016/j.ecolecon.2012.11.006,,Global,Global,Not Reported,,0,0,0,0,1
Taxonomic database,Mangrove Reference Database and Herbarium,,Flanders Marine Institute,VLIZ-005,0,http://www.vliz.be/vmdcdata/mangroves,,Global,Global,Not Reported,,0,0,0,1,1
